iter	Logloss
0	0.678232382
1	0.6656610775
2	0.6540306695
3	0.6540004914
4	0.6537600313
5	0.6471116534
6	0.6461123421
7	0.6444366183
8	0.6402104781
9	0.6401902074
10	0.6370609999
11	0.635937577
12	0.6359309077
13	0.6272312954
14	0.6236545692
15	0.6199726016
16	0.6143779977
17	0.6082052545
18	0.608200911
19	0.6048431306
20	0.6028105235
21	0.5966425947
22	0.5904340484
23	0.5827727097
24	0.5779751888
25	0.57441676
26	0.5714350573
27	0.5667979118
28	0.5661323605
29	0.5644310226
30	0.5644136502
31	0.5568810361
32	0.555911903
33	0.5486054794
34	0.5444233581
35	0.5422224424
36	0.5386119276
37	0.5358300382
38	0.5330331035
39	0.529183963
40	0.5247820536
41	0.5225306284
42	0.5205148365
43	0.5178689969
44	0.5147802053
45	0.5111564837
46	0.5081340242
47	0.5050307838
48	0.502934376
49	0.4995906657
50	0.4954800231
51	0.4924138483
52	0.4893454515
53	0.4874151962
54	0.4856824543
55	0.4836115151
56	0.4809817691
57	0.4787655602
58	0.4764549376
59	0.4751260547
60	0.4736846789
61	0.4714517476
62	0.4695989281
63	0.4674113458
64	0.4660560559
65	0.463675324
66	0.4621280604
67	0.4607144214
68	0.459003113
69	0.4570597386
70	0.4558209931
71	0.454331918
72	0.4525007203
73	0.4486920525
74	0.4467002388
75	0.4449227873
76	0.4438029677
77	0.4421805635
78	0.4389457451
79	0.4379311955
80	0.4369652218
81	0.4350066381
82	0.432175183
83	0.4303898457
84	0.4295231502
85	0.4275485482
86	0.425821817
87	0.4244839318
88	0.4236998499
89	0.4207825465
90	0.4191824577
91	0.4186144051
92	0.4175606391
93	0.4160420025
94	0.4138990249
95	0.413364793
96	0.411800417
97	0.4103666093
98	0.4094697404
99	0.4087983065
100	0.4071952504
101	0.4052936443
102	0.4039136636
103	0.4026932266
104	0.400879588
105	0.3994113789
106	0.3973973323
107	0.3965270599
108	0.3956414851
109	0.3950747327
110	0.3934881287
111	0.3920072801
112	0.3908294958
113	0.3904536235
114	0.3878937839
115	0.3868369745
116	0.3864777171
117	0.3854700368
118	0.3833068052
119	0.3827886045
120	0.3821447304
121	0.381606596
122	0.3795210281
123	0.378243025
124	0.3765671432
125	0.3750597222
126	0.37460569
127	0.3722614782
128	0.3704850139
129	0.3685983599
130	0.3681406117
131	0.3678479945
132	0.3656134372
133	0.3644807301
134	0.3638655963
135	0.3632193761
136	0.3628105908
137	0.361678592
138	0.3610851274
139	0.3605990747
140	0.3602108056
141	0.3590360856
142	0.3579784782
143	0.3562396679
144	0.3546838016
145	0.3541014688
146	0.353498448
147	0.3514561926
148	0.3508813899
149	0.3496825544
